unit_id,tm_id,PLT_CN,county,owner_class,owner_name,OWN_CODE,forest_branch,FORTYPCD,ForTypName,acres,stand_age,prescription,template,entry_years,n_entries,first_entry_year,last_entry_year,cuts,regen_slot,collapsed_to_no_management,notes,params
TM48525_Baker_O7,48525,448939977489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,100.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM48525_Baker_O7,48525,448939977489998,Baker,state,State,7,hardwood,608,Sweetbay / swamp tupelo / red maple,0.2223948433204488,100.0,no_management,no_management,,0,,,False,,False,,
TM64383_Suwannee_O7,64383,638334339126144,Suwannee,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,21.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM64383_Suwannee_O7,64383,638334339126144,Suwannee,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,21.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM64383_Suwannee_O7,64383,638334339126144,Suwannee,state,State,7,other,407,Slash pine / hardwood,0.2223948433204488,21.0,no_management,no_management,,0,,,False,,False,,
TM36971_Baker_O7,36971,289516357489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,80.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM36971_Baker_O7,36971,289516357489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,80.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM36971_Baker_O7,36971,289516357489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,80.0,pine_plantation_long_rotation,clearcut,2027,1,2027.0,2027.0,True,planted_pine_regen,False,thin dropped: stand is at or past rotation age,year=2027
TM36971_Baker_O7,36971,289516357489998,Baker,state,State,7,pine,142,Slash pine,0.2223948433204488,80.0,no_management,no_management,,0,,,False,,False,,
TM67456_Columbia_O3,67456,718604223290487,Columbia,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,51.0,family_light_thin,thin_from_below,2032,1,2032.0,2032.0,True,,False,,max_dbh=8.0;proportion=0.35;year=2032
TM67456_Columbia_O3,67456,718604223290487,Columbia,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,51.0,family_uneven_aged_selection,selection_harvest,2037;2052;2067,3,2037.0,2067.0,True,,False,,end_year=2067;interval=15;proportion=0.15;start_year=2037
TM67456_Columbia_O3,67456,718604223290487,Columbia,private_family,Family Forest,3,hardwood,520,Mixed upland hardwoods,0.2223948433204488,51.0,no_management,no_management,,0,,,False,,False,,
TM43217_Suwannee_O7,43217,374861587489998,Suwannee,state,State,7,hardwood,514,Southern scrub oak,0.2223948433204488,67.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM43217_Suwannee_O7,43217,374861587489998,Suwannee,state,State,7,hardwood,514,Southern scrub oak,0.2223948433204488,67.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM43217_Suwannee_O7,43217,374861587489998,Suwannee,state,State,7,hardwood,514,Southern scrub oak,0.2223948433204488,67.0,no_management,no_management,,0,,,False,,False,,
TM31037_Suwannee_O6,31037,218218426020004,Suwannee,federal,Federal,6,hardwood,503,White oak / red oak / hickory,0.2223948433204488,75.0,public_selection_light,selection_harvest,2032;2042;2052;2062,4,2032.0,2062.0,True,,False,,end_year=2062;interval=10;proportion=0.2;start_year=2032
TM31037_Suwannee_O6,31037,218218426020004,Suwannee,federal,Federal,6,hardwood,503,White oak / red oak / hickory,0.2223948433204488,75.0,public_thin_restore,thin_from_below_repeated,2027;2042;2057,3,2027.0,2057.0,True,,False,,end_year=2067;interval=15;max_dbh=10.0;proportion=0.3;start_year=2027
TM31037_Suwannee_O6,31037,218218426020004,Suwannee,federal,Federal,6,hardwood,503,White oak / red oak / hickory,0.2223948433204488,75.0,no_management,no_management,,0,,,False,,False,,
TM2683_Baker_O4,2683,20220154010478,Baker,private_industrial,Corporate/Other Private,4,other,407,Slash pine / hardwood,0.2223948433204488,24.0,hardwood_clearcut_regen,clearcut,2052,1,2052.0,2052.0,True,hardwood_regen,False,unrefined,year=2052
