fvs_run_id,PLT_CN,prescription,cycles,first_year,last_year,total_removed_merch_cuft_per_ac,harvest_cycles,ending_ba,ending_merch_cuft_per_ac
176860754010854::no_management,176860754010854,no_management,10,2027,2072,0.0,0,186.76507568359375,3900.0595703125
176860754010854::public_selection_light,176860754010854,public_selection_light,10,2027,2072,1186.1339874267578,4,167.9925994873047,3126.77880859375
176860754010854::public_thin_restore,176860754010854,public_thin_restore,10,2027,2072,551.7489547729492,3,175.53018188476562,3416.162109375
20220154010478::family_light_thin,20220154010478,family_light_thin,10,2027,2072,235.6415252685547,1,170.37753295898438,3283.431640625
20220154010478::family_uneven_aged_selection,20220154010478,family_uneven_aged_selection,10,2027,2072,922.6777954101562,3,159.29690551757812,3180.94091796875
20220154010478::hardwood_clearcut_regen,20220154010478,hardwood_clearcut_regen,10,2027,2072,2179.130615234375,1,68.42474365234375,41.678382873535156
20220154010478::no_management,20220154010478,no_management,10,2027,2072,0.0,0,175.15428161621094,3456.55859375
20233712010478::family_light_thin,20233712010478,family_light_thin,10,2027,2072,0.0,0,77.67474365234375,1392.912109375
20233712010478::family_uneven_aged_selection,20233712010478,family_uneven_aged_selection,10,2027,2072,395.63480377197266,3,60.410888671875,956.4066162109375
20233712010478::hardwood_clearcut_regen,20233712010478,hardwood_clearcut_regen,10,2027,2072,801.6720581054688,1,64.52099609375,843.5166015625
20233712010478::no_management,20233712010478,no_management,10,2027,2072,0.0,0,95.10309600830078,1558.3974609375
