fvs_run_id,PLT_CN,prescription,cycle,calendar_year,removed_merch_cuft_per_ac,base_prescription,offset_years
134677819010854::pine_plantation_long_rotation@+15y,134677819010854,pine_plantation_long_rotation@+15y,10,2072,0.0,pine_plantation_long_rotation,15
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,0,2022,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,1,2027,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,2,2032,44.82379913330078,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,3,2037,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,4,2042,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,5,2047,1286.8753662109375,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,6,2052,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,7,2057,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,8,2062,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,9,2067,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_long_rotation@+5y,134677819010854,pine_plantation_long_rotation@+5y,10,2072,0.0,pine_plantation_long_rotation,5
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,0,2022,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,1,2027,6.838620662689209,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,2,2032,143.6453399658203,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,3,2037,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,4,2042,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,5,2047,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,6,2052,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,7,2057,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,8,2062,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,9,2067,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation,134677819010854,pine_plantation_short_rotation,10,2072,0.0,pine_plantation_short_rotation,0
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,0,2022,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,1,2027,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,2,2032,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,3,2037,199.05531311035156,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,4,2042,728.9625244140625,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,5,2047,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,6,2052,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,7,2057,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,8,2062,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,9,2067,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+10y,134677819010854,pine_plantation_short_rotation@+10y,10,2072,0.0,pine_plantation_short_rotation,10
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,0,2022,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,1,2027,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,2,2032,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,3,2037,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,4,2042,327.1235656738281,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,5,2047,1118.8548583984375,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,6,2052,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,7,2057,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,8,2062,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,9,2067,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+15y,134677819010854,pine_plantation_short_rotation@+15y,10,2072,0.0,pine_plantation_short_rotation,15
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,0,2022,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,1,2027,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,2,2032,45.74456024169922,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,3,2037,469.94122314453125,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,4,2042,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,5,2047,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,6,2052,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,7,2057,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,8,2062,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,9,2067,0.0,pine_plantation_short_rotation,5
134677819010854::pine_plantation_short_rotation@+5y,134677819010854,pine_plantation_short_rotation@+5y,10,2072,0.0,pine_plantation_short_rotation,5
134677819010854::public_selection_light,134677819010854,public_selection_light,0,2022,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,1,2027,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,2,2032,35.26017379760742,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,3,2037,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,4,2042,179.4614715576172,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,5,2047,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,6,2052,345.1343688964844,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,7,2057,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,8,2062,468.44647216796875,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,9,2067,0.0,public_selection_light,0
134677819010854::public_selection_light,134677819010854,public_selection_light,10,2072,0.0,public_selection_light,0
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,0,2022,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,1,2027,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,2,2032,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,3,2037,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,4,2042,195.44313049316406,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,5,2047,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,6,2052,380.2567443847656,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,7,2057,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,8,2062,518.5455932617188,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,9,2067,0.0,public_selection_light,10
134677819010854::public_selection_light@+10y,134677819010854,public_selection_light@+10y,10,2072,0.0,public_selection_light,10
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,0,2022,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,1,2027,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,2,2032,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,3,2037,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,4,2042,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,5,2047,301.88519287109375,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,6,2052,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,7,2057,472.2538757324219,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,8,2062,0.0,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,9,2067,579.3176879882812,public_selection_light,15
134677819010854::public_selection_light@+15y,134677819010854,public_selection_light@+15y,10,2072,0.0,public_selection_light,15
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,0,2022,0.0,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,1,2027,0.0,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,2,2032,0.0,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,3,2037,118.06884002685547,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,4,2042,0.0,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,5,2047,264.1020202636719,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,6,2052,0.0,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,7,2057,429.52911376953125,public_selection_light,5
134677819010854::public_selection_light@+5y,134677819010854,public_selection_light@+5y,8,2062,0.0,public_selection_light,5
